#{"t_start": 1697674191.667181, "env_id": "LunarLander-v2"}
r,l,t
265.247363,237,6487.266585
176.883151,280,6500.026677
-57.578328,191,6500.081373
-146.392259,160,6500.128301
-43.731913,118,6500.152392
-16.069669,161,6500.194006
188.163569,459,6500.511172
7.18241,147,6500.548192
249.912035,205,6500.614937
-201.214139,366,6500.761041
259.541873,326,6500.879153
234.600927,365,6501.06795
233.604043,195,6501.129994
225.271587,490,6501.511676
-30.85213,160,6501.553212
-32.404211,247,6501.633913
270.762769,397,6506.597995
-416.925874,753,6507.207232
-162.973832,312,6507.311339
-116.294248,530,6507.569465
293.134396,342,6507.72819
31.15016,116,6507.753065
284.755157,173,6507.792621
228.78642,253,6507.896188
-14.243528,1000,6509.360632
209.568395,174,6509.408806
238.430028,193,6509.459582
16.28294,138,6509.489672
-29.142838,107,6509.51169
228.685816,271,6509.603195
267.032666,209,6509.658046
269.384737,224,7299.805129
299.482776,200,7299.869546
-10.91,108,7299.89485
-8.326958,1000,7300.743105
259.10817,227,7300.823292
271.847915,187,7300.880829
-82.952447,354,7300.99035
266.924374,195,7301.052067
261.681054,394,7301.227351
-187.400144,204,7301.282316
232.995321,381,7301.450088
272.854517,235,7301.524384
-109.776766,735,7302.342601
-5.390712,82,7302.357376
-163.82952,182,7302.403956
-49.633109,92,7304.196885
-320.03657,348,7304.352888
210.804975,197,7304.405296
3.961781,138,7304.436918
287.197116,483,7304.751321
-35.555398,1000,7306.152049
24.950021,154,7306.191303
186.28083,335,7306.347395
-7.44908,96,7306.366114
258.079895,422,7306.592806
-30.9172,429,7306.854575
245.22418,455,7307.195435
255.686321,181,7307.248065
234.497015,192,7307.294489
247.013835,475,7307.567402
265.181129,277,7389.560414
-111.562187,214,7389.621199
201.055822,321,7389.769149
184.865156,675,7390.324312
-45.630367,98,7390.344675
223.442559,633,7391.01882
226.734632,301,7391.145023
-65.302446,131,7391.173066
167.394435,353,7391.355918
176.73843,274,7391.45414
131.111636,794,7393.140866
235.468115,253,7393.226543
